Response_ID,Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations
103847,120877,Rarely,Throughout the day,To boost performance,No,Neutral,Not sure,No,3,Unfamiliar with the brand,Bepsi,Taste/flavor preference,More natural ingredients,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,Yes,100-150,Gyms and fitness centers,Social outings/parties
103851,120881,Daily,For mental alertness,To boost performance,Yes,Neutral,Healthy,Yes,5,Not interested in energy drinks,Bepsi,Brand reputation,More natural ingredients,Vitamins,No,Yes,Online ads,Compact and portable cans,Yes,50-99,Other,Sports/exercise
103852,120882,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Not sure,Yes,4,Other,Cola-Coka,Other,Reduced sugar content,Guarana,Yes,Yes,Other,Compact and portable cans,Not Sure,100-150,Supermarkets,Sports/exercise
103853,120883,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Neutral,Not sure,No,3,Not available locally,Bepsi,Availability,Wider range of flavors,Caffeine,No,Yes,Online ads,Innovative bottle design,Not Sure,50-99,Online retailers,Social outings/parties
103854,120884,Daily,To stay awake during work/study,To enhance sports performance,Yes,Positive,Dangerous,No,5,Other,Cola-Coka,Availability,Reduced sugar content,Caffeine,Yes,Not Sure,Print media,Collectible packaging,No,100-150,Gyms and fitness centers,Sports/exercise
103856,120886,Daily,Before exercise,Other,Yes,Positive,Effective,No,5,Other,Cola-Coka,Effectiveness,Reduced sugar content,Sugar,No,Yes,TV commercials,Eco-friendly design,No,50-99,Supermarkets,Sports/exercise
103857,120887,Once a week,Before exercise,To boost performance,Yes,Neutral,Not sure,No,3,Not interested in energy drinks,Cola-Coka,Taste/flavor preference,Other,Guarana,Yes,Yes,TV commercials,Collectible packaging,No,50-99,Other,Sports/exercise
103859,120889,Once a week,For mental alertness,To boost performance,No,Positive,Dangerous,Yes,4,Health concerns,Bepsi,Availability,Wider range of flavors,Vitamins,No,Yes,Other,Eco-friendly design,No,50-99,Supermarkets,Sports/exercise
103861,120891,Once a week,Before exercise,To boost performance,Yes,Positive,Dangerous,Yes,5,Other,Cola-Coka,Effectiveness,Other,Caffeine,Yes,Yes,Print media,Innovative bottle design,No,50-99,Online retailers,Sports/exercise
103863,120893,2-3 times a week,Before exercise,To enhance sports performance,Yes,Negative,Dangerous,No,5,Not interested in energy drinks,Bepsi,Effectiveness,Wider range of flavors,Guarana,Yes,Yes,Print media,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Studying/working late
103866,120896,Once a week,Before exercise,To combat fatigue,Yes,Negative,Healthy,Yes,1,Health concerns,Bepsi,Other,Wider range of flavors,Sugar,Yes,Not Sure,TV commercials,Compact and portable cans,No,50-99,Supermarkets,Studying/working late
103869,120899,Once a week,To stay awake during work/study,To enhance sports performance,Yes,Negative,Effective,No,5,Not available locally,Cola-Coka,Effectiveness,Reduced sugar content,Caffeine,No,Yes,Outdoor billboards,Other,Yes,Below 50,Online retailers,Studying/working late
103871,120901,2-3 times a week,Throughout the day,To combat fatigue,Yes,Negative,Not sure,Yes,4,Health concerns,Cola-Coka,Brand reputation,Reduced sugar content,Guarana,Yes,Yes,TV commercials,Compact and portable cans,No,100-150,Supermarkets,Studying/working late
103872,120902,2-3 times a month,Throughout the day,To enhance sports performance,Yes,Neutral,Healthy,Yes,4,Unfamiliar with the brand,Bepsi,Brand reputation,More natural ingredients,Guarana,No,Yes,Other,Innovative bottle design,Yes,50-99,Gyms and fitness centers,Studying/working late
103873,120903,Rarely,Before exercise,To boost performance,Yes,Neutral,Not sure,No,2,Health concerns,Bepsi,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,No,Online ads,Compact and portable cans,Yes,50-99,Local stores,Studying/working late
103874,120904,Rarely,To stay awake during work/study,Other,No,Neutral,Healthy,Yes,3,Other,Bepsi,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,Yes,Print media,Eco-friendly design,No,50-99,Local stores,Driving/commuting
103877,120907,Once a week,For mental alertness,To combat fatigue,No,Neutral,Dangerous,Yes,4,Unfamiliar with the brand,Bepsi,Other,Reduced sugar content,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,Not Sure,Above 150,Gyms and fitness centers,Sports/exercise
103879,120909,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Neutral,Not sure,No,1,Not interested in energy drinks,Bepsi,Brand reputation,Healthier alternatives,Sugar,No,Not Sure,Online ads,Compact and portable cans,No,100-150,Supermarkets,Sports/exercise
103880,120910,Rarely,Before exercise,Other,No,Positive,Dangerous,Yes,5,Not interested in energy drinks,Cola-Coka,Availability,Reduced sugar content,Caffeine,Yes,No,Online ads,Innovative bottle design,Yes,50-99,Online retailers,Sports/exercise
103886,120916,Once a week,For mental alertness,To combat fatigue,Yes,Positive,Dangerous,Yes,5,Other,Bepsi,Effectiveness,More natural ingredients,Sugar,Yes,Not Sure,Online ads,Eco-friendly design,Not Sure,50-99,Supermarkets,Studying/working late
103887,120917,Daily,Throughout the day,Increased energy and focus,Yes,Neutral,Effective,No,3,Not available locally,Bepsi,Other,More natural ingredients,Guarana,Yes,Yes,TV commercials,Innovative bottle design,Yes,100-150,Online retailers,Studying/working late
103888,120918,Once a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,Yes,5,Unfamiliar with the brand,Cola-Coka,Other,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Compact and portable cans,No,50-99,Gyms and fitness centers,Sports/exercise
103889,120919,Once a week,Before exercise,Increased energy and focus,Yes,Negative,Not sure,No,4,Not interested in energy drinks,Bepsi,Availability,More natural ingredients,Vitamins,Yes,Yes,Online ads,Compact and portable cans,No,50-99,Supermarkets,Studying/working late
103891,120921,2-3 times a week,For mental alertness,Other,Yes,Negative,Healthy,Yes,5,Health concerns,Bepsi,Brand reputation,Wider range of flavors,Sugar,Yes,Yes,Print media,Innovative bottle design,Yes,50-99,Supermarkets,Sports/exercise
103893,120923,Once a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,Yes,3,Not available locally,Cola-Coka,Other,Wider range of flavors,Caffeine,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,100-150,Online retailers,Sports/exercise
103898,120928,Daily,Before exercise,Increased energy and focus,Yes,Negative,Effective,No,3,Unfamiliar with the brand,Bepsi,Taste/flavor preference,Other,Vitamins,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Online retailers,Sports/exercise
103901,120931,Daily,For mental alertness,Increased energy and focus,Yes,Positive,Effective,No,5,Not available locally,Bepsi,Brand reputation,Wider range of flavors,Sugar,Yes,Not Sure,TV commercials,Compact and portable cans,Yes,Below 50,Supermarkets,Sports/exercise
103906,120936,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,Yes,4,Other,Cola-Coka,Brand reputation,Wider range of flavors,Caffeine,No,No,Online ads,Innovative bottle design,Not Sure,100-150,Online retailers,Sports/exercise
103907,120937,Rarely,For mental alertness,To combat fatigue,No,Neutral,Dangerous,Yes,5,Health concerns,Bepsi,Other,Reduced sugar content,Caffeine,Yes,Not Sure,Print media,Other,Yes,Above 150,Local stores,Studying/working late
103908,120938,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Positive,Healthy,No,3,Other,Cola-Coka,Effectiveness,Reduced sugar content,Guarana,No,No,TV commercials,Eco-friendly design,Yes,50-99,Supermarkets,Studying/working late
103909,120939,Once a week,Before exercise,To boost performance,No,Neutral,Dangerous,No,4,Not interested in energy drinks,Cola-Coka,Other,More natural ingredients,Vitamins,Yes,Yes,Print media,Innovative bottle design,Yes,100-150,Other,Social outings/parties
103910,120940,Daily,To stay awake during work/study,To boost performance,Yes,Positive,Effective,No,2,Health concerns,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Online retailers,Social outings/parties
103912,120942,Rarely,Throughout the day,To enhance sports performance,No,Negative,Effective,No,5,Not available locally,Cola-Coka,Other,Healthier alternatives,Caffeine,No,No,Online ads,Innovative bottle design,Yes,100-150,Online retailers,Sports/exercise
103914,120944,Rarely,Before exercise,Increased energy and focus,No,Neutral,Effective,No,5,Health concerns,Cola-Coka,Availability,More natural ingredients,Caffeine,Yes,No,Online ads,Compact and portable cans,No,Above 150,Supermarkets,Studying/working late
103915,120945,2-3 times a week,Before exercise,Increased energy and focus,No,Negative,Not sure,No,5,Not interested in energy drinks,Bepsi,Taste/flavor preference,Wider range of flavors,Vitamins,No,No,Online ads,Collectible packaging,Yes,50-99,Online retailers,Sports/exercise
103916,120946,2-3 times a month,Before exercise,Other,No,Negative,Not sure,Yes,3,Health concerns,Cola-Coka,Other,More natural ingredients,Vitamins,Yes,Yes,Outdoor billboards,Other,Not Sure,100-150,Online retailers,Driving/commuting
103919,120949,2-3 times a month,Throughout the day,Other,Yes,Negative,Dangerous,No,1,Not interested in energy drinks,Bepsi,Effectiveness,Reduced sugar content,Caffeine,Yes,Not Sure,TV commercials,Collectible packaging,Yes,50-99,Supermarkets,Other
103924,120954,Once a week,Before exercise,Increased energy and focus,Yes,Neutral,Effective,No,1,Unfamiliar with the brand,Cola-Coka,Availability,Reduced sugar content,Caffeine,No,Yes,Online ads,Collectible packaging,No,50-99,Supermarkets,Sports/exercise
103926,120956,2-3 times a week,Throughout the day,Other,Yes,Positive,Not sure,No,5,Unfamiliar with the brand,Cola-Coka,Other,Wider range of flavors,Vitamins,Yes,Yes,Online ads,Collectible packaging,Yes,Below 50,Supermarkets,Studying/working late
103930,120960,2-3 times a week,For mental alertness,To enhance sports performance,Yes,Neutral,Effective,No,4,Health concerns,Cola-Coka,Effectiveness,Reduced sugar content,Guarana,No,Not Sure,TV commercials,Eco-friendly design,Not Sure,Below 50,Supermarkets,Driving/commuting
103932,120962,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Effective,No,3,Other,Cola-Coka,Other,More natural ingredients,Vitamins,No,No,Outdoor billboards,Collectible packaging,No,50-99,Gyms and fitness centers,Social outings/parties
103933,120963,2-3 times a week,For mental alertness,To enhance sports performance,Yes,Neutral,Effective,No,3,Health concerns,Bepsi,Brand reputation,Reduced sugar content,Vitamins,Yes,No,Print media,Collectible packaging,Yes,50-99,Supermarkets,Other
103939,120969,Once a week,For mental alertness,Increased energy and focus,No,Positive,Dangerous,Yes,3,Not interested in energy drinks,Cola-Coka,Other,Healthier alternatives,Caffeine,No,Not Sure,TV commercials,Compact and portable cans,Yes,100-150,Online retailers,Studying/working late
103942,120972,Rarely,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Effective,Yes,3,Not available locally,Cola-Coka,Brand reputation,More natural ingredients,Sugar,No,No,Online ads,Other,No,50-99,Supermarkets,Other
103943,120973,2-3 times a week,Throughout the day,To combat fatigue,No,Negative,Not sure,Yes,5,Other,Bepsi,Brand reputation,Wider range of flavors,Caffeine,Yes,Yes,Other,Innovative bottle design,Yes,50-99,Online retailers,Sports/exercise
103944,120974,Once a week,Before exercise,To boost performance,No,Positive,Not sure,Yes,3,Not available locally,Bepsi,Other,Healthier alternatives,Guarana,Yes,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Online retailers,Sports/exercise
103945,120975,Rarely,Before exercise,To combat fatigue,No,Positive,Effective,Yes,4,Unfamiliar with the brand,Cola-Coka,Brand reputation,Healthier alternatives,Vitamins,Yes,No,Online ads,Compact and portable cans,Not Sure,50-99,Online retailers,Studying/working late
103954,120984,2-3 times a month,To stay awake during work/study,To boost performance,No,Positive,Not sure,No,3,Not interested in energy drinks,Cola-Coka,Availability,Reduced sugar content,Vitamins,Yes,Yes,TV commercials,Other,Yes,100-150,Supermarkets,Studying/working late
103955,120985,2-3 times a week,For mental alertness,Increased energy and focus,No,Neutral,Not sure,No,3,Other,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,Yes,No,TV commercials,Innovative bottle design,Not Sure,50-99,Supermarkets,Sports/exercise
103956,120986,2-3 times a month,Throughout the day,Other,No,Neutral,Not sure,No,1,Not available locally,Cola-Coka,Taste/flavor preference,Other,Vitamins,No,No,TV commercials,Compact and portable cans,No,50-99,Supermarkets,Social outings/parties
103957,120987,Once a week,Throughout the day,Increased energy and focus,Yes,Negative,Healthy,No,4,Unfamiliar with the brand,Bepsi,Effectiveness,Wider range of flavors,Caffeine,Yes,No,TV commercials,Compact and portable cans,Yes,100-150,Supermarkets,Studying/working late
103958,120988,Once a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Dangerous,No,5,Not available locally,Bepsi,Availability,Healthier alternatives,Sugar,Yes,No,Online ads,Innovative bottle design,No,100-150,Gyms and fitness centers,Sports/exercise
103961,120991,2-3 times a week,Before exercise,To enhance sports performance,No,Positive,Effective,Yes,3,Health concerns,Bepsi,Other,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Innovative bottle design,Yes,100-150,Supermarkets,Studying/working late
103962,120992,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Positive,Dangerous,Yes,3,Unfamiliar with the brand,Bepsi,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,No,Online ads,Innovative bottle design,No,100-150,Supermarkets,Studying/working late
103964,120994,2-3 times a month,Throughout the day,Increased energy and focus,No,Neutral,Not sure,No,2,Health concerns,Cola-Coka,Taste/flavor preference,Reduced sugar content,Guarana,Yes,Yes,Print media,Compact and portable cans,Yes,50-99,Online retailers,Sports/exercise
103970,121000,Once a week,Before exercise,To combat fatigue,No,Neutral,Effective,No,4,Not available locally,Cola-Coka,Effectiveness,Wider range of flavors,Sugar,No,Yes,TV commercials,Eco-friendly design,No,50-99,Online retailers,Other
103971,121001,Rarely,For mental alertness,Increased energy and focus,Yes,Positive,Dangerous,Yes,3,Not available locally,Bepsi,Brand reputation,Wider range of flavors,Guarana,No,Yes,Other,Innovative bottle design,Yes,100-150,Online retailers,Studying/working late
103972,121002,2-3 times a month,Before exercise,Increased energy and focus,No,Positive,Dangerous,Yes,4,Health concerns,Cola-Coka,Availability,Reduced sugar content,Guarana,Yes,Yes,Outdoor billboards,Compact and portable cans,Yes,Below 50,Gyms and fitness centers,Sports/exercise
103973,121003,Once a week,Before exercise,To combat fatigue,No,Positive,Dangerous,Yes,1,Not interested in energy drinks,Cola-Coka,Taste/flavor preference,Reduced sugar content,Sugar,Yes,Not Sure,Other,Compact and portable cans,No,100-150,Supermarkets,Sports/exercise
103977,121007,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Negative,Not sure,Yes,4,Unfamiliar with the brand,Bepsi,Brand reputation,Healthier alternatives,Vitamins,Yes,No,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
103979,121009,Rarely,Throughout the day,To boost performance,No,Neutral,Healthy,No,3,Not interested in energy drinks,Cola-Coka,Taste/flavor preference,Healthier alternatives,Caffeine,Yes,Yes,Outdoor billboards,Compact and portable cans,Not Sure,50-99,Supermarkets,Social outings/parties
103981,121011,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Dangerous,No,3,Health concerns,Bepsi,Effectiveness,Reduced sugar content,Sugar,Yes,Yes,TV commercials,Compact and portable cans,No,100-150,Supermarkets,Sports/exercise
103982,121012,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Negative,Effective,No,5,Not interested in energy drinks,Bepsi,Brand reputation,More natural ingredients,Caffeine,Yes,Yes,Online ads,Compact and portable cans,No,100-150,Online retailers,Studying/working late
103984,121014,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Not sure,Yes,4,Not interested in energy drinks,Cola-Coka,Other,Reduced sugar content,Sugar,Yes,No,Online ads,Innovative bottle design,Not Sure,Above 150,Supermarkets,Social outings/parties
103989,121019,Rarely,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,No,5,Unfamiliar with the brand,Cola-Coka,Availability,More natural ingredients,Caffeine,No,Yes,Outdoor billboards,Compact and portable cans,Not Sure,100-150,Online retailers,Sports/exercise
103997,121027,Rarely,Before exercise,Increased energy and focus,No,Neutral,Healthy,Yes,3,Other,Cola-Coka,Taste/flavor preference,More natural ingredients,Sugar,Yes,Yes,Other,Eco-friendly design,Yes,100-150,Supermarkets,Driving/commuting
103998,121028,Daily,Throughout the day,Increased energy and focus,Yes,Neutral,Dangerous,No,3,Not interested in energy drinks,Bepsi,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,Not Sure,50-99,Online retailers,Social outings/parties
103999,121029,2-3 times a week,Before exercise,Increased energy and focus,No,Negative,Healthy,Yes,1,Unfamiliar with the brand,Bepsi,Brand reputation,Reduced sugar content,Sugar,Yes,Not Sure,Other,Compact and portable cans,No,Below 50,Supermarkets,Studying/working late
104001,121031,2-3 times a month,For mental alertness,To combat fatigue,Yes,Neutral,Dangerous,Yes,5,Not available locally,Bepsi,Effectiveness,Reduced sugar content,Guarana,Yes,No,Online ads,Collectible packaging,Not Sure,Above 150,Gyms and fitness centers,Social outings/parties
104002,121032,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Healthy,No,4,Unfamiliar with the brand,Bepsi,Effectiveness,More natural ingredients,Caffeine,Yes,Not Sure,Online ads,Innovative bottle design,Yes,50-99,Online retailers,Sports/exercise
104003,121033,2-3 times a month,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Healthy,No,4,Health concerns,Cola-Coka,Availability,Wider range of flavors,Guarana,No,No,TV commercials,Eco-friendly design,No,Below 50,Supermarkets,Other
104004,121034,Once a week,Before exercise,Increased energy and focus,No,Neutral,Effective,Yes,4,Health concerns,Bepsi,Brand reputation,More natural ingredients,Vitamins,Yes,Not Sure,TV commercials,Compact and portable cans,No,Below 50,Online retailers,Sports/exercise
104007,121037,Once a week,To stay awake during work/study,To combat fatigue,No,Positive,Effective,No,3,Other,Bepsi,Other,Wider range of flavors,Sugar,Yes,Not Sure,Online ads,Collectible packaging,No,100-150,Supermarkets,Studying/working late
104009,121039,Once a week,Throughout the day,To boost performance,No,Neutral,Effective,No,3,Not available locally,Cola-Coka,Taste/flavor preference,Reduced sugar content,Sugar,Yes,No,TV commercials,Collectible packaging,Not Sure,Below 50,Online retailers,Sports/exercise
104010,121040,2-3 times a month,To stay awake during work/study,To combat fatigue,No,Neutral,Healthy,No,2,Unfamiliar with the brand,Bepsi,Brand reputation,Other,Guarana,Yes,No,TV commercials,Compact and portable cans,No,50-99,Other,Sports/exercise
104011,121041,Daily,To stay awake during work/study,To combat fatigue,Yes,Positive,Healthy,No,2,Not available locally,Cola-Coka,Taste/flavor preference,Wider range of flavors,Caffeine,Yes,Not Sure,TV commercials,Innovative bottle design,Yes,100-150,Other,Social outings/parties
104013,121043,2-3 times a month,Before exercise,To combat fatigue,No,Positive,Effective,No,5,Not available locally,Bepsi,Effectiveness,Wider range of flavors,Guarana,No,Not Sure,Outdoor billboards,Compact and portable cans,Yes,100-150,Gyms and fitness centers,Studying/working late
104015,121045,Rarely,For mental alertness,To enhance sports performance,Yes,Neutral,Not sure,No,5,Health concerns,Bepsi,Other,More natural ingredients,Vitamins,Yes,No,Online ads,Other,No,100-150,Online retailers,Sports/exercise
104016,121046,Rarely,For mental alertness,Increased energy and focus,Yes,Neutral,Effective,Yes,5,Not interested in energy drinks,Bepsi,Availability,Healthier alternatives,Sugar,No,No,Outdoor billboards,Compact and portable cans,Not Sure,100-150,Other,Studying/working late
104017,121047,2-3 times a week,For mental alertness,Increased energy and focus,No,Positive,Healthy,No,2,Not available locally,Bepsi,Effectiveness,Healthier alternatives,Caffeine,No,Not Sure,TV commercials,Collectible packaging,Yes,50-99,Other,Studying/working late
104019,121049,2-3 times a month,Throughout the day,To combat fatigue,Yes,Neutral,Effective,No,3,Unfamiliar with the brand,Cola-Coka,Taste/flavor preference,More natural ingredients,Sugar,Yes,Yes,Online ads,Compact and portable cans,No,50-99,Local stores,Social outings/parties
104022,121052,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Positive,Not sure,No,3,Not interested in energy drinks,Bepsi,Brand reputation,Wider range of flavors,Vitamins,No,Yes,Online ads,Innovative bottle design,No,50-99,Supermarkets,Social outings/parties
104028,121058,2-3 times a month,Before exercise,To combat fatigue,Yes,Neutral,Not sure,No,2,Unfamiliar with the brand,Bepsi,Effectiveness,Wider range of flavors,Guarana,No,No,TV commercials,Compact and portable cans,No,100-150,Supermarkets,Sports/exercise
104030,121060,2-3 times a month,For mental alertness,Increased energy and focus,No,Neutral,Effective,No,3,Not available locally,Cola-Coka,Brand reputation,Reduced sugar content,Vitamins,Yes,No,Online ads,Compact and portable cans,No,100-150,Supermarkets,Sports/exercise
104031,121061,2-3 times a month,For mental alertness,To combat fatigue,Yes,Neutral,Dangerous,Yes,2,Not available locally,Bepsi,Availability,Reduced sugar content,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,Yes,100-150,Supermarkets,Social outings/parties
104032,121062,Once a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,Yes,2,Not interested in energy drinks,Cola-Coka,Effectiveness,Reduced sugar content,Caffeine,No,Not Sure,Other,Innovative bottle design,No,Below 50,Local stores,Social outings/parties
104035,121065,2-3 times a week,Before exercise,To combat fatigue,Yes,Positive,Not sure,Yes,3,Not interested in energy drinks,Bepsi,Taste/flavor preference,Reduced sugar content,Caffeine,No,No,Online ads,Innovative bottle design,No,50-99,Supermarkets,Studying/working late
104036,121066,2-3 times a week,Throughout the day,To boost performance,No,Neutral,Healthy,No,5,Health concerns,Cola-Coka,Other,More natural ingredients,Sugar,Yes,No,Other,Compact and portable cans,Yes,Above 150,Supermarkets,Sports/exercise
104037,121067,Daily,Throughout the day,To combat fatigue,Yes,Neutral,Healthy,No,4,Other,Cola-Coka,Other,More natural ingredients,Caffeine,Yes,Not Sure,Print media,Compact and portable cans,Yes,Above 150,Local stores,Sports/exercise
104038,121068,Rarely,Throughout the day,Increased energy and focus,Yes,Neutral,Effective,No,3,Not available locally,Bepsi,Taste/flavor preference,Wider range of flavors,Caffeine,No,Not Sure,Other,Compact and portable cans,Yes,50-99,Supermarkets,Driving/commuting
104039,121069,Once a week,To stay awake during work/study,Increased energy and focus,No,Positive,Effective,Yes,1,Unfamiliar with the brand,Cola-Coka,Availability,Reduced sugar content,Sugar,Yes,No,TV commercials,Innovative bottle design,No,Above 150,Local stores,Sports/exercise
104040,121070,Once a week,Before exercise,To combat fatigue,Yes,Negative,Dangerous,No,4,Not available locally,Cola-Coka,Effectiveness,More natural ingredients,Sugar,Yes,Yes,Online ads,Compact and portable cans,No,100-150,Supermarkets,Driving/commuting
104041,121071,Daily,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,No,2,Unfamiliar with the brand,Bepsi,Taste/flavor preference,More natural ingredients,Guarana,Yes,Yes,Online ads,Compact and portable cans,Yes,100-150,Supermarkets,Sports/exercise
104043,121073,2-3 times a month,Throughout the day,To boost performance,No,Neutral,Dangerous,Yes,2,Not interested in energy drinks,Cola-Coka,Effectiveness,Healthier alternatives,Vitamins,Yes,Yes,Online ads,Innovative bottle design,Yes,Above 150,Local stores,Social outings/parties
104045,121075,2-3 times a month,Throughout the day,Increased energy and focus,No,Negative,Effective,Yes,3,Health concerns,Bepsi,Availability,Wider range of flavors,Sugar,Yes,No,Print media,Eco-friendly design,Yes,50-99,Online retailers,Studying/working late
104047,121077,Daily,Before exercise,To boost performance,Yes,Negative,Not sure,No,2,Not interested in energy drinks,Bepsi,Taste/flavor preference,Reduced sugar content,Vitamins,No,Yes,TV commercials,Collectible packaging,No,Above 150,Supermarkets,Studying/working late
104050,121080,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Positive,Healthy,Yes,5,Not interested in energy drinks,Cola-Coka,Brand reputation,Other,Vitamins,No,Yes,Outdoor billboards,Compact and portable cans,Yes,Below 50,Supermarkets,Studying/working late
104052,121082,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Effective,Yes,4,Unfamiliar with the brand,Bepsi,Other,Reduced sugar content,Guarana,Yes,Yes,TV commercials,Collectible packaging,No,Above 150,Local stores,Studying/working late
104053,121083,Rarely,Throughout the day,Increased energy and focus,No,Negative,Effective,No,5,Health concerns,Cola-Coka,Effectiveness,More natural ingredients,Guarana,No,No,TV commercials,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Studying/working late
104058,121088,Rarely,Before exercise,Other,No,Neutral,Effective,No,3,Not available locally,Cola-Coka,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,No,Online ads,Compact and portable cans,Yes,50-99,Online retailers,Sports/exercise
104059,121089,Once a week,For mental alertness,To enhance sports performance,No,Positive,Effective,No,3,Health concerns,Cola-Coka,Effectiveness,Reduced sugar content,Caffeine,No,Not Sure,Online ads,Eco-friendly design,No,100-150,Online retailers,Sports/exercise
104062,121092,2-3 times a week,For mental alertness,To enhance sports performance,Yes,Positive,Effective,Yes,2,Not interested in energy drinks,Cola-Coka,Availability,More natural ingredients,Sugar,Yes,No,Online ads,Innovative bottle design,No,Below 50,Online retailers,Sports/exercise
104063,121093,2-3 times a month,Before exercise,Increased energy and focus,Yes,Neutral,Healthy,No,2,Not available locally,Cola-Coka,Brand reputation,Healthier alternatives,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Online retailers,Sports/exercise
104065,121095,Rarely,To stay awake during work/study,To enhance sports performance,No,Neutral,Effective,No,5,Not interested in energy drinks,Bepsi,Brand reputation,Healthier alternatives,Caffeine,Yes,Yes,Online ads,Collectible packaging,No,100-150,Online retailers,Studying/working late
104067,121097,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Not sure,Yes,3,Health concerns,Cola-Coka,Brand reputation,More natural ingredients,Caffeine,No,Yes,Online ads,Innovative bottle design,Not Sure,Below 50,Supermarkets,Studying/working late
104068,121098,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Not sure,No,5,Unfamiliar with the brand,Cola-Coka,Effectiveness,More natural ingredients,Caffeine,No,Yes,Print media,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Social outings/parties
104070,121100,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Negative,Healthy,Yes,3,Not interested in energy drinks,Bepsi,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,No,Other,Collectible packaging,Yes,50-99,Supermarkets,Studying/working late
104072,121102,Once a week,For mental alertness,Increased energy and focus,No,Negative,Healthy,No,5,Not available locally,Bepsi,Brand reputation,Reduced sugar content,Vitamins,Yes,Yes,Other,Compact and portable cans,No,100-150,Online retailers,Social outings/parties
104073,121103,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Not sure,No,2,Not available locally,Bepsi,Availability,Wider range of flavors,Sugar,No,Not Sure,Print media,Innovative bottle design,Yes,100-150,Gyms and fitness centers,Studying/working late
104074,121104,2-3 times a week,Before exercise,To enhance sports performance,Yes,Positive,Effective,No,2,Health concerns,Bepsi,Effectiveness,Other,Caffeine,No,Yes,TV commercials,Innovative bottle design,No,Above 150,Supermarkets,Studying/working late
104075,121105,Rarely,For mental alertness,To boost performance,Yes,Neutral,Effective,No,2,Health concerns,Cola-Coka,Taste/flavor preference,Other,Sugar,Yes,Yes,TV commercials,Compact and portable cans,Not Sure,100-150,Supermarkets,Sports/exercise
104078,121108,2-3 times a month,For mental alertness,To combat fatigue,Yes,Neutral,Effective,No,2,Not interested in energy drinks,Bepsi,Brand reputation,More natural ingredients,Vitamins,Yes,No,Online ads,Innovative bottle design,Not Sure,Below 50,Supermarkets,Driving/commuting
